Row	energy_consumption	starting_temp	starting_humi	time_taken	factor	path	ending_temp	ending_humi
364	[]	22.98	60.5	[]	Infinity	[]		
365	[]	22.98	60.5	[]	Infinity	[]		
366	[]	22.98	60.5	[]	Infinity	[]		
367	[]	22.98	60.5	[]	Infinity	[]		
368	[]	22.98	60.5	[]	Infinity	[]		
369	[]	22.98	60.5	[]	Infinity	[]		
370	[]	22.98	60.5	[]	Infinity	[]		
371	[]	22.98	60.5	[]	Infinity	[]		
372	[]	22.98	60.5	[]	Infinity	[]		
373	[]	22.98	60.5	[]	Infinity	[]		
374	[]	22.98	60.5	[]	Infinity	[]		
375	[]	22.98	60.5	[]	Infinity	[]		
376	[]	22.98	60.5	[]	Infinity	[]		
377	[]	24.79	48.75	[]	Infinity	[]		
378	[]	24.79	48.75	[]	Infinity	[]		
379	[]	24.79	48.75	[]	Infinity	[]		
380	[]	24.79	48.75	[]	Infinity	[]		
381	[]	22.98	60.5	[]	Infinity	[]		
382	[]	22.98	60.5	[]	Infinity	[]		
383	[]	22.98	60.5	[]	Infinity	[]		
384	[]	22.98	60.5	[]	Infinity	[]		
385	[]	24.79	48.75	[]	Infinity	[]		
386	[]	22.98	60.5	[]	Infinity	[]		
387	[]	22.98	60.5	[]	Infinity	[]		
388	[]	22.98	60.5	[]	Infinity	[]		
389	[]	24.79	48.75	[]	Infinity	[]		
390	[]	22.98	60.5	[]	Infinity	[]		
391	[]	24.79	48.75	[]	Infinity	[]		
392	[]	24.79	48.75	[]	Infinity	[]		
393	[]	22.98	60.5	[]	Infinity	[]		
394	[]	24.79	48.75	[]	Infinity	[]		
395	[]	24.79	48.75	[]	Infinity	[]		
396	[]	22.98	60.5	[]	Infinity	[]		
397	[]	24.79	48.75	[]	Infinity	[]		
398	[]	24.79	48.75	[]	Infinity	[]		
399	[]	24.79	48.75	[]	Infinity	[]		
400	[]	22.98	60.5	[]	Infinity	[]		
401	[]	24.79	48.75	[]	Infinity	[]		
402	[]	24.79	48.75	[]	Infinity	[]		
403	[]	24.79	48.75	[]	Infinity	[]		
404	[]	22.98	60.5	[]	Infinity	[]		
405	[]	22.98	60.5	[]	Infinity	[]		
406	[]	22.98	60.5	[]	Infinity	[]		
407	[]	22.98	60.5	[]	Infinity	[]		
408	[]	24.79	48.75	[]	Infinity	[]		
409	[]	24.79	48.75	[]	Infinity	[]		
410	[]	24.79	48.75	[]	Infinity	[]		
411	[]	24.79	48.75	[]	Infinity	[]		
412	[]	22.98	60.5	[]	Infinity	[]		
413	[]	22.98	60.5	[]	Infinity	[]		
414	[]	24.79	48.75	[]	Infinity	[]		
415	[]	24.79	48.75	[]	Infinity	[]		
416	[]	24.79	48.75	[]	Infinity	[]		
417	[]	22.98	60.5	[]	Infinity	[]		
418	[]	22.98	60.5	[]	Infinity	[]		
419	[]	22.98	60.5	[]	Infinity	[]		
420	[]	22.98	60.5	[]	Infinity	[]		
421	[]	22.98	60.5	[]	Infinity	[]		
422	[]	22.98	60.5	[]	Infinity	[]		
423	[]	24.79	48.75	[]	Infinity	[]		
424	[]	24.79	48.75	[]	Infinity	[]		
425	[]	24.79	48.75	[]	Infinity	[]		
426	[]	24.79	48.75	[]	Infinity	[]		
427	[]	24.79	48.75	[]	Infinity	[]		
428	[]	24.79	48.75	[]	Infinity	[]		
429	[]	22.98	60.5	[]	Infinity	[]		
430	[]	22.98	60.5	[]	Infinity	[]		
431	[]	22.98	60.5	[]	Infinity	[]		
432	[]	24.79	48.75	[]	Infinity	[]		
433	[]	22.98	60.5	[]	Infinity	[]		
434	[]	22.98	60.5	[]	Infinity	[]		
435	[]	24.79	48.75	[]	Infinity	[]		
436	[]	24.79	48.75	[]	Infinity	[]		
437	[]	24.79	48.75	[]	Infinity	[]		
438	[]	22.98	60.5	[]	Infinity	[]		
439	[]	24.79	48.75	[]	Infinity	[]		
440	[]	24.79	48.75	[]	Infinity	[]		
441	[]	24.79	48.75	[]	Infinity	[]		
442	[]	22.98	60.5	[]	Infinity	[]		
443	[]	24.79	48.75	[]	Infinity	[]		
444	[]	22.98	60.5	[]	Infinity	[]		
445	[]	24.79	48.75	[]	Infinity	[]		
446	[]	22.98	60.5	[]	Infinity	[]		
447	[]	22.98	60.5	[]	Infinity	[]		
448	[]	24.79	48.75	[]	Infinity	[]		
449	[]	22.98	60.5	[]	Infinity	[]		
450	[]	22.98	60.5	[]	Infinity	[]		
451	[]	22.98	60.5	[]	Infinity	[]		
452	[]	22.98	60.5	[]	Infinity	[]		
453	[]	22.98	60.5	[]	Infinity	[]		
454	[]	24.79	48.75	[]	Infinity	[]		
455	[]	24.79	48.75	[]	Infinity	[]		
456	[]	24.79	48.75	[]	Infinity	[]		
457	[]	22.98	60.5	[]	Infinity	[]		
458	[]	22.98	60.5	[]	Infinity	[]		
459	[]	24.79	48.75	[]	Infinity	[]		
460	[]	22.98	60.5	[]	Infinity	[]		
461	[]	22.98	60.5	[]	Infinity	[]		
462	[]	24.79	48.75	[]	Infinity	[]		
463	[]	22.98	60.5	[]	Infinity	[]		
464	[]	22.98	60.5	[]	Infinity	[]		
465	[]	22.98	60.5	[]	Infinity	[]		
466	[]	22.98	60.5	[]	Infinity	[]		
467	[]	24.79	48.75	[]	Infinity	[]		
468	[]	22.98	60.5	[]	Infinity	[]		
469	[]	22.98	60.5	[]	Infinity	[]		
470	[]	24.79	48.75	[]	Infinity	[]		
471	[]	24.79	48.75	[]	Infinity	[]		
472	[]	22.98	60.5	[]	Infinity	[]		
473	[]	22.98	60.5	[]	Infinity	[]		
474	[]	22.98	60.5	[]	Infinity	[]		
475	[]	22.98	60.5	[]	Infinity	[]		
476	[]	22.98	60.5	[]	Infinity	[]		
477	[]	22.98	60.5	[]	Infinity	[]		
478	[]	22.98	60.5	[]	Infinity	[]		
480	[]	24.79	48.75	[]	Infinity	[]		
481	[]	22.98	60.5	[]	Infinity	[]		
482	[]	24.79	48.75	[]	Infinity	[]		
483	[]	22.98	60.5	[]	Infinity	[]		
484	[]	24.79	48.75	[]	Infinity	[]		
485	[]	24.79	48.75	[]	Infinity	[]		
486	[]	22.98	60.5	[]	Infinity	[]		
487	[]	22.98	60.5	[]	Infinity	[]		
488	[]	24.79	48.75	[]	Infinity	[]		
489	[]	24.79	48.75	[]	Infinity	[]		
490	[]	22.98	60.5	[]	Infinity	[]		
491	[]	22.98	60.5	[]	Infinity	[]		
492	[]	22.98	60.5	[]	Infinity	[]		
493	[]	22.98	60.5	[]	Infinity	[]		
