timestamp,temperature,humidity,power_consumption_room_1,energy_consumption_room_1,power_consumption_room_2,energy_consumption_room_2,outdoor_temperature,outdoor_humidity,door_status,occupancy,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
1732819706,26.067,79.714,0.04,3376.33,0.02,2873.44,27.1,89.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732820315,26.117,79.857,0.04,3376.33,0.02,2873.45,27.2,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732820926,26.133,80.0,0.04,3376.34,0.02,2873.45,27.3,89.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732821543,26.15,80.071,0.06,3376.34,0.02,2873.45,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,0.0,COOL
1732822153,26.167,80.286,0.04,3376.3599999999997,0.02,2873.45,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732822770,26.2,80.571,0.04,3376.3599999999997,0.02,2873.46,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,0.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732823380,26.217,80.714,0.04,3376.37,0.02,2873.46,27.6,88.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732823989,26.25,81.0,0.04,3376.37,0.02,2873.46,27.5,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732824600,26.25,81.5,0.04,3376.38,0.02,2873.46,27.2,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732825210,26.233,81.571,0.04,3376.3900000000003,0.02,2873.47,27.3,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732825821,26.25,81.643,0.04,3376.4,0.02,2873.47,27.1,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732826431,26.267,82.0,0.04,3376.41,0.02,2873.47,27.1,90.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732827041,26.267,81.786,0.04,3376.41,0.02,2873.47,27.1,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732827651,26.283,82.071,0.04,3376.42,0.02,2873.48,27.2,90.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732828260,26.283,82.143,0.04,3376.4300000000003,0.02,2873.48,27.0,91.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732828870,26.3,82.571,0.04,3376.44,0.02,2873.48,26.8,92.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732829481,26.3,82.714,0.04,3376.44,0.02,2873.49,26.6,92.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732830091,26.3,82.929,0.04,3376.45,0.02,2873.49,26.5,93.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732830701,26.333,82.786,0.04,3376.45,0.02,2873.49,26.4,93.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732831311,26.333,82.786,0.04,3376.4700000000003,0.02,2873.49,26.4,93.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732831920,26.283,83.071,0.04,3376.4700000000003,0.02,2873.5,26.3,94.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732832530,26.18,84.083,0.04,3376.48,0.02,2873.5,26.3,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732833140,26.3,83.214,0.04,3376.48,0.02,2873.5,26.2,94.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732833750,26.3,83.357,0.04,3376.49,0.02,2873.5,26.3,94.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732834360,26.36,83.667,0.04,3376.5,0.02,2873.51,26.2,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732834970,26.3,83.786,0.04,3376.51,0.02,2873.51,26.2,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732835580,26.3,83.857,0.04,3376.52,0.02,2873.51,26.1,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732836190,26.3,83.714,0.04,3376.52,0.02,2873.52,26.0,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732836800,26.317,84.071,0.04,3376.5299999999997,0.02,2873.52,26.0,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732837417,26.283,84.214,0.04,3376.5299999999997,0.02,2873.52,26.0,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,0.0,COOL
1732838028,26.267,84.143,0.04,3376.55,0.02,2873.52,26.0,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732838638,26.283,82.083,0.04,3376.55,0.02,2873.53,26.0,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732839248,26.267,84.143,0.04,3376.56,0.02,2873.53,26.0,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732839858,26.283,84.357,0.04,3376.56,0.02,2873.53,25.9,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732840468,26.283,84.286,0.04,3376.5699999999997,0.02,2873.53,25.9,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732841084,26.283,84.429,0.04,3376.58,0.02,2873.54,26.0,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,0.0,AUTO,OFF,MED,22.0,COOL
1732841695,26.267,84.286,0.04,3376.59,0.02,2873.54,25.8,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732842305,26.283,84.429,0.04,3376.59,0.02,2873.54,26.0,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732842915,26.283,84.643,0.04,3376.6,0.02,2873.55,25.9,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732843525,26.283,84.643,0.04,3376.6,0.02,2873.55,25.9,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732844135,26.267,84.5,0.04,3376.62,0.02,2873.55,25.9,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732844745,26.267,84.5,0.04,3376.63,0.02,2873.55,25.8,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732845355,26.283,84.643,0.04,3376.63,0.02,2873.56,25.9,96.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732845965,26.283,84.571,0.04,3376.64,0.02,2873.56,25.9,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732846575,26.283,84.714,0.04,3376.64,0.02,2873.56,25.8,96.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732847185,26.3,84.571,0.04,3376.66,0.02,2873.56,25.8,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732847794,26.283,84.714,0.04,3376.66,0.02,2873.57,25.8,96.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732848404,26.267,84.929,0.04,3376.67,0.02,2873.57,25.8,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732849015,26.283,84.929,0.04,3376.67,0.02,2873.57,25.7,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732849625,26.267,85.0,0.04,3376.68,0.02,2873.57,25.8,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732850235,26.283,85.0,0.04,3376.6899999999996,0.02,2873.58,25.8,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732850845,26.283,85.0,0.04,3376.7,0.02,2873.58,25.7,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732851455,26.3,85.0,0.04,3376.7,0.02,2873.58,25.7,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732852065,26.283,85.143,0.04,3376.71,0.02,2873.59,25.7,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732852675,26.267,85.143,0.04,3376.71,0.02,2873.59,25.7,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732853285,26.283,85.214,0.04,3376.7200000000003,0.02,2873.59,25.8,95.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732853894,26.283,85.286,0.04,3376.74,0.02,2873.59,25.8,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732854504,26.3,85.286,0.04,3376.74,0.02,2873.6,25.8,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732855114,26.25,85.214,0.04,3376.75,0.02,2873.6,25.8,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732855724,26.283,85.214,0.04,3376.75,0.02,2873.6,25.7,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732856335,26.267,85.357,0.04,3376.76,0.02,2873.6,25.7,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732856945,26.283,85.429,0.04,3376.77,0.02,2873.61,25.8,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732857555,26.283,85.429,0.04,3376.7799999999997,0.02,2873.61,25.7,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732858165,26.267,85.429,0.04,3376.7799999999997,0.02,2873.61,25.7,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732858775,26.267,85.5,0.04,3376.79,0.02,2873.62,25.8,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732859385,26.267,85.571,0.04,3376.79,0.02,2873.62,25.7,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732859995,26.267,85.571,0.04,3376.81,0.02,2873.62,25.8,95.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732860605,26.25,85.429,0.04,3376.81,0.02,2873.62,25.2,93.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732861214,26.25,85.714,0.04,3376.8199999999997,0.02,2873.63,25.1,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732861824,26.233,85.786,0.04,3376.83,0.02,2873.63,25.0,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732862434,26.217,85.857,0.04,3376.83,0.02,2873.63,25.0,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732863044,26.2,85.857,0.04,3376.8500000000004,0.02,2873.63,25.0,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732863654,26.2,85.643,0.04,3376.8500000000004,0.02,2873.64,25.1,93.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732864271,26.2,85.571,0.04,3376.86,0.02,2873.64,25.1,93.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,0.0,AUTO,OFF,MED,22.0,COOL
1732864882,26.2,85.714,0.04,3376.86,0.02,2873.64,25.2,94.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732865491,26.167,85.786,0.04,3376.87,0.02,2873.65,25.1,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732866101,26.167,85.786,0.04,3376.87,0.02,2873.65,25.2,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732866711,26.183,85.786,0.04,3376.8900000000003,0.02,2873.65,25.1,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732867321,26.167,85.714,0.04,3376.8900000000003,0.02,2873.65,25.2,94.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732867931,26.183,85.786,0.04,3376.9,0.02,2873.66,25.2,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732868543,26.167,85.929,0.04,3376.9,0.02,2873.66,25.2,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732869153,26.183,85.857,0.04,3376.91,0.02,2873.66,25.1,93.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732869763,26.15,86.0,0.04,3376.92,0.02,2873.66,25.1,94.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732870374,26.15,86.071,0.04,3376.9300000000003,0.02,2873.67,25.2,94.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
