,timestamp,temperature,humidity,power_consumption,energy_consumption,outdoor_temperature,outdoor_humidity,door_status,occupancy,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode
1095,1733839757,24.85,58.0,1.7000000000000002,2988.34,30.6,63.5,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1096,1733840385,25.25,60.25,1.9100000000000001,2988.74,31.4,62.5,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1097,1733841014,24.9,60.0,1.99,2989.12,31.2,60.5,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1098,1733841642,24.65,60.5,2.34,2989.46,31.5,61.0,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1099,1733842270,24.5,60.0,1.62,2989.79,31.3,62.0,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
2190,1734462171,30.15,72.75,0.81,2992.7,30.5,69.5,0.0,0.0,ON,AUTO,21.5,DRY,OFF,MED,22.0,COOL
2191,1734462800,28.8,69.5,1.72,2993.01,30.1,70.0,0.0,0.0,ON,AUTO,21.5,DRY,OFF,MED,22.0,COOL
2192,1734463428,28.5,67.75,1.72,2993.3,30.1,70.5,0.0,0.0,ON,AUTO,21.5,DRY,OFF,MED,22.0,COOL
2273,1734513144,28.0,69.5,3.87,2993.93,28.2,77.0,0.0,0.0,ON,AUTO,22.5,DRY,ON,HIGH,22.5,COOL
2274,1734513564,26.5,61.75,3.83,2994.79,28.5,76.0,0.0,1.0,ON,AUTO,22.5,DRY,ON,HIGH,22.5,COOL
2275,1734513773,26.5,61.75,3.83,2994.79,28.5,76.0,0.0,1.0,ON,AUTO,22.5,DRY,ON,HIGH,22.5,COOL
